CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,CountryMode,CustomerTenureDays,AverageBasket,Cluster,segment_name
12346,326,12,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,United Kingdom,726,6463.038333333334,2,Actifs à montant élevé
12347,2,8,5633.32,2010-10-31 14:20:00,2011-12-07 15:52:00,Iceland,404,704.165,0,Champions
12348,75,5,2019.4,2010-09-27 14:59:00,2011-09-25 13:13:00,Finland,438,403.88,2,Actifs à montant élevé
12349,19,4,4428.69,2010-04-29 13:20:00,2011-11-21 09:51:00,Italy,589,1107.1725,2,Actifs à montant élevé
12350,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,310,334.4,1,Achats anciens à faible montant
12351,375,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,Unspecified,375,300.93,1,Achats anciens à faible montant
12352,36,10,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,Norway,393,284.98400000000004,2,Actifs à montant élevé
12353,204,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,Bahrain,409,203.38,1,Achats anciens à faible montant
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,232,1079.4,4,Achats anciens
12355,214,2,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,Bahrain,568,473.805,4,Achats anciens
12356,23,6,6371.73,2010-10-11 09:42:00,2011-11-17 08:40:00,Portugal,425,1061.955,2,Actifs à montant élevé
12357,33,3,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,Switzerland,389,6095.886666666666,2,Actifs à montant élevé
12358,2,5,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,Austria,732,777.414,2,Actifs à montant élevé
12359,58,10,8873.39,2009-12-05 13:32:00,2011-10-13 12:47:00,Cyprus,734,887.3389999999999,2,Actifs à montant élevé
12360,52,8,4252.89,2010-02-22 09:32:00,2011-10-18 15:22:00,Austria,656,531.61125,2,Actifs à montant élevé
12361,287,4,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,Belgium,682,127.8125,4,Achats anciens
12362,3,11,5356.23,2009-12-01 10:10:00,2011-12-06 15:40:00,Belgium,739,486.92999999999995,0,Champions
12363,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,242,276.0,4,Achats anciens
12364,8,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,112,328.275,3,Achats récents occasionnels
12365,291,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,291,320.69,4,Achats anciens
12366,634,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,Cyprus,634,500.24,1,Achats anciens à faible montant
12367,4,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,4,168.9,3,Achats récents occasionnels
12368,628,1,917.6999999999999,2010-03-21 15:56:00,2010-03-21 15:56:00,Cyprus,628,917.6999999999999,4,Achats anciens
12369,413,3,1791.15,2010-03-08 08:09:00,2010-10-22 13:13:00,Austria,642,597.0500000000001,4,Achats anciens
12370,51,7,4316.56,2010-02-09 09:41:00,2011-10-19 14:51:00,Cyprus,669,616.6514285714286,2,Actifs à montant élevé
12371,45,5,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,Switzerland,645,813.476,2,Actifs à montant élevé
12372,72,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,297,432.68,4,Achats anciens
12373,311,3,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,Austria,674,375.8833333333334,4,Achats anciens
