k,Cluster,Effectif,Recence_moy_jours,Recence_med_jours,Frequence_moy_factures,Frequence_med_factures,Montant_moy_GBP,Montant_med_GBP,CA_GBP,Pct_clients,Pct_CA
2,0,3532,300.297281993205,291.5,2.073895809739524,2.0,611.1132488674972,416.475,2158451.995,60.088465464443686,12.204669356263336
2,1,2346,52.33546462063086,24.0,12.635976129582268,8.0,6618.503257885763,2869.74,15527008.643,39.91153453555631,87.79533064373666
4,0,1462,230.4233926128591,186.0,5.017099863201095,4.0,1970.8760177838576,1480.13,2881420.738,24.872405580129296,16.29259648351377
4,1,1959,396.5400714650332,404.0,1.3746809596733027,1.0,319.9804497192445,277.93,626841.701,33.32766247022797,3.54439001522602
4,2,1223,27.83892068683565,17.0,19.02125919869174,13.0,10753.572614063778,5033.77,13151619.307,20.80639673358285,74.36401898823982
4,3,1234,28.91491085899514,24.0,2.9805510534846027,3.0,831.101209076175,725.02,1025578.892,20.993535216059882,5.798994513020385
5,0,587,17.998296422487222,8.0,28.557069846678022,20.0,17829.920586030665,8497.82,10466163.384,9.986389928547124,59.17947854585024
5,1,1580,416.98227848101266,417.0,1.231012658227848,1.0,252.15159556962027,227.31,398399.521,26.87989111942838,2.252695189312603
5,2,1250,58.3616,39.0,8.556,8.0,3412.1033504,2719.615,4265129.188,21.265736645117386,24.116585229539893
5,3,1126,32.301065719360565,28.0,2.502664298401421,2.0,683.749948490231,613.24,769902.442,19.156175569921743,4.353307260460851
5,4,1335,303.15280898876404,288.0,3.5565543071161048,3.0,1337.7274179775281,1018.42,1785866.1030000001,22.71180673698537,10.097933774836406
